date,tic,close
2018-07-03,Durbl,-1.42
2018-07-05,Durbl,1.11
2018-07-06,Durbl,0.26
2018-07-09,Durbl,1.72
2018-07-10,Durbl,0.46
2018-07-11,Durbl,-1.52
2018-07-12,Durbl,0.13
2018-07-13,Durbl,0.68
2018-07-16,Durbl,-0.99
2018-07-17,Durbl,1.24
2018-07-18,Durbl,-0.02
2018-07-19,Durbl,-0.22
2018-07-20,Durbl,-0.79
2018-07-23,Durbl,-0.9
2018-07-24,Durbl,-0.49
2018-07-25,Durbl,-0.24
2018-07-26,Durbl,-0.76
2018-07-27,Durbl,-0.31
2018-07-30,Durbl,-0.22
2018-07-31,Durbl,1.45
2018-08-01,Durbl,-1.39
2018-08-02,Durbl,2.66
2018-08-03,Durbl,1.02
2018-08-06,Durbl,-0.66
2018-08-07,Durbl,2.13
2018-08-08,Durbl,-0.76
2018-08-09,Durbl,-1.23
2018-08-10,Durbl,-1.02
2018-08-13,Durbl,-0.85
2018-08-14,Durbl,0.21
2018-08-15,Durbl,-0.95
2018-08-16,Durbl,0.85
2018-08-17,Durbl,-0.71
2018-08-20,Durbl,1.05
2018-08-21,Durbl,1.42
2018-08-22,Durbl,-1.09
2018-08-23,Durbl,-0.8
2018-08-24,Durbl,0.71
2018-08-27,Durbl,1.89
2018-08-28,Durbl,-0.54
2018-08-29,Durbl,-0.51
2018-08-30,Durbl,-1.28
2018-08-31,Durbl,-0.54
2018-09-04,Durbl,-1.11
2018-09-05,Durbl,-0.03
2018-09-06,Durbl,-0.64
2018-09-07,Durbl,-1.24
2018-09-10,Durbl,1.93
2018-09-11,Durbl,-0.56
2018-09-12,Durbl,0.66
2018-09-13,Durbl,0.31
2018-09-14,Durbl,0.89
2018-09-17,Durbl,-0.05
2018-09-18,Durbl,-0.44
2018-09-19,Durbl,1.6
2018-09-20,Durbl,1.01
2018-09-21,Durbl,-0.46
2018-09-24,Durbl,-1.52
2018-09-25,Durbl,-1.41
2018-09-26,Durbl,0.1
2018-09-27,Durbl,-0.29
2018-09-28,Durbl,-2.4
2018-10-01,Durbl,2.51
2018-10-02,Durbl,-1.23
2018-10-03,Durbl,0.06
2018-10-04,Durbl,-1.4
2018-10-05,Durbl,-2.35
2018-10-08,Durbl,-0.18
2018-10-09,Durbl,-1.95
